Petitions,Machines,Steps
6,6,33
1,31,10
7,22,25
23,9,122
24,11,103
15,12,78
7,25,23
4,15,23
26,8,156
10,19,44
2,13,17
2,33,12
15,13,56
2,32,12
3,16,16
16,18,66
1,35,9
8,14,35
6,18,39
23,12,107
19,9,95
11,5,83
13,23,46
12,24,54
8,16,50
6,8,45
5,24,23
4,12,17
27,9,128
8,15,37
1,19,6
6,13,39
22,10,120
21,13,110
10,5,74
2,30,7
9,16,42
28,8,150
21,15,94
4,17,18
18,6,108
5,29,20
7,11,44
7,9,55
32,4,238
17,6,129
29,6,188
17,15,79
8,24,35
3,5,27
24,7,149
24,5,142
4,26,21
14,18,49
20,11,89
2,20,15
3,29,21
14,13,65
7,18,32
17,11,78
1,1,11
4,8,26
7,14,36
7,3,33
19,13,82
11,19,41
1,32,6
19,15,94
11,16,59
17,11,97
11,15,49
4,31,19
4,23,19
7,6,58
10,19,41
16,11,80
8,22,35
8,15,32
8,26,34
6,3,45
7,12,33
7,9,44
10,5,67
8,11,44
11,8,77
6,20,30
3,31,20
13,20,50
18,5,127
13,15,61
2,6,12
13,16,43
16,13,68
12,7,68
12,8,77
14,17,52
10,26,39
18,18,76
19,14,93
11,17,51
22,4,152
7,22,24
17,10,70
10,5,58
28,4,196
4,29,16
8,12,40
19,15,73
18,12,79
13,14,51
15,14,62
16,5,103
1,13,13
29,7,213
18,18,84
10,8,81
11,25,52
11,24,44
4,26,21
13,8,70
11,12,53
27,7,148
16,17,69
13,9,62
8,12,44
1,21,4
21,9,115
9,5,69
11,6,62
21,8,144
17,16,71
5,9,31
5,27,22
13,15,72
9,22,36
11,6,69
6,21,27
8,28,34
4,21,18
12,12,52
13,22,50
7,29,24
10,14,60
23,7,118
2,22,11
10,23,37
1,2,14
9,19,39
3,17,16
13,14,51
1,28,12
15,14,61
12,15,58
5,24,21
6,11,30
13,17,53
15,13,88
9,19,50
10,13,68
8,15,40
22,8,108
24,8,140
7,9,45
17,15,81
5,21,18
28,8,171
4,21,14
30,6,229
2,28,16
20,13,89
13,8,69
25,7,150
1,21,7
3,23,18
20,10,90
16,8,102
6,29,23
11,6,67
7,16,29
2,5,18
14,16,64
1,27,9
17,7,106
13,4,124
2,10,16
4,24,23
5,28,20
8,6,61
22,14,93
23,6,152
18,16,85
20,3,166
5,16,30
9,6,44
10,21,49
28,7,168
13,8,91
5,5,49
11,20,50
26,9,144
10,8,66
10,26,43
6,21,20
13,18,57
18,8,88
2,3,13
6,20,27
1,32,8
5,16,31
12,9,67
20,8,109
7,16,24
14,6,103
3,12,14
2,25,13
5,28,24
22,8,129
8,20,39
11,24,41
3,25,12
15,14,69
12,19,49
24,3,169
7,5,50
7,21,33
2,33,9
7,19,28
1,23,12
7,24,36
3,31,11
16,19,60
14,13,66
3,33,12
2,6,9
6,12,33
6,19,24
6,23,23
7,27,19
3,3,23
30,4,220
29,3,231
15,11,97
1,18,6
3,30,25
5,12,23
12,10,65
7,16,27
2,10,12
7,10,28
18,8,98
22,6,140
13,14,63
5,31,20
1,31,8
7,15,30
4,20,23
26,5,172
5,21,25
11,21,48
4,26,16
19,9,135
12,13,47
1,6,11
14,7,100
16,14,72
9,6,50
5,5,31
9,15,37
15,15,55
13,13,66
2,27,16
4,26,19
11,20,55
2,9,14
8,7,53
9,16,41
14,21,62
8,17,39
21,9,125
19,14,79
6,20,32
6,25,32
19,10,94
21,4,150
9,12,41
1,19,9
11,25,33
4,24,23
15,8,69
14,7,95
24,8,148
21,6,158
11,13,53
27,7,171
22,10,101
20,10,94
7,21,33
10,25,44
5,30,17
3,9,24
